,price,bedRoom,bathroom,balcony,floor_type,agePossession,sector,type,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,features_list,luxury
226,1.1,2.0,2.0,1,mid floor,Relatively New,sector 102,flat,722.4000000000001,0,0,0,0,0,unfurnished,"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Centrally Air Conditioned', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']",semi_luxrious
227,1.41,2.0,2.0,2,low floor,New Property,sector 61,flat,1151.02,1,0,0,0,0,unfurnished,"['Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center', 'Water softening plant']",semi_luxrious
228,1.45,3.0,3.0,3,low floor,Relatively New,sector 79,flat,1945.0,0,0,0,0,0,unfurnished,[],low
229,2.2,3.0,3.0,2,low floor,New Property,sector 61,flat,1600.0,0,0,0,0,0,unfurnished,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']",normal
230,1.1,2.0,2.0,3,mid floor,Moderately Old,sector 33,flat,1000.0,0,0,0,0,0,semifurnished,"['Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']",normal
231,2.05,3.0,4.0,3+,high floor,Relatively New,sector 102,flat,2025.0,0,1,0,0,0,unfurnished,"['Security / Fire Alarm', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']",luxrious
232,0.6,3.0,2.0,3,low floor,Moderately Old,sector 92,flat,1200.0,0,0,0,0,0,semifurnished,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']",normal
233,0.8,2.0,3.0,3,mid floor,Under Construction,sector 89,flat,1328.0,1,0,0,0,1,unfurnished,"['Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Security Personnel', 'Maintenance Staff', 'Park', 'Club house / Community Center', 'Fitness Centre / GYM', 'Shopping Centre', 'Rain Water Harvesting']",semi_luxrious
234,0.41,2.0,2.0,2,mid floor,New Property,sector 84,flat,483.0,0,0,0,0,0,semifurnished,"['Security / Fire Alarm', 'Lift(s)', 'Maintenance Staff', 'Park']",low
235,0.9,3.0,3.0,3,low floor,Under Construction,sector 73,flat,1622.206,0,1,0,0,0,unfurnished,"['Power Back-up', 'Intercom Facility', 'Lift(s)', 'Centrally Air Conditioned', 'Swimming Pool', 'Park', 'Visitor Parking', 'Security Personnel', 'Internet/wi-fi connectivity', 'Fitness Centre / GYM', 'Club house / Community Center']",semi_luxrious
236,0.54,2.0,2.0,1,low floor,Relatively New,sector 7,flat,900.0,0,0,0,0,0,unfurnished,"['Security / Fire Alarm', 'Intercom Facility', 'Maintenance Staff', 'Water Storage', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society']",semi_luxrious
237,0.82,3.0,2.0,2,low floor,New Property,sector 36,flat,650.0,0,0,0,0,0,unfurnished,"['Lift(s)', 'Park']",low
238,1.0,3.0,3.0,3+,low floor,Relatively New,sector 71,flat,1188.0,0,0,0,0,0,semifurnished,['Visitor Parking'],low
239,1.85,3.0,4.0,3,mid floor,Old Property,sector 56,flat,2050.0,0,1,0,0,0,unfurnished,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'Park', 'Piped-gas', 'Visitor Parking', 'Internet/wi-fi connectivity']",semi_luxrious
240,1.42,3.0,3.0,2,low floor,Relatively New,sector 83,flat,1775.0,0,0,0,0,0,semifurnished,"['Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Low Density Society', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']",luxrious
241,0.55,2.0,2.0,3,low floor,New Property,sector 37,flat,600.0,0,0,0,0,0,unfurnished,"['Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Bank Attached Property', 'Visitor Parking', 'Park', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",semi_luxrious
242,2.29,2.0,2.0,3,mid floor,Under Construction,sector 65,flat,1433.0,1,0,0,0,0,unfurnished,"['Intercom Facility', 'Lift(s)', 'Park']",low
243,0.97,2.0,2.0,2,high floor,New Property,sector 102,flat,600.0,0,0,0,0,0,unfurnished,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']",normal
244,8.25,3.0,4.0,3,mid floor,Relatively New,sector 53,flat,2352.0,0,1,0,0,0,furnished,"['Feng Shui / Vaastu Compliant', 'Lift(s)', 'Swimming Pool', 'Internet/wi-fi connectivity', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",normal
245,0.3,2.0,2.0,1,low floor,Relatively New,sector 3,flat,675.0,0,0,0,0,0,unfurnished,"['High Ceiling Height', 'Maintenance Staff', 'Water Storage']",low
246,1.65,2.0,2.0,3,low floor,Under Construction,sector 33,flat,1151.0,0,0,0,0,0,unfurnished,"['Power Back-up', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",normal
247,1.99,2.0,2.0,2,high floor,Relatively New,sector 65,flat,1008.0,0,0,0,0,0,unfurnished,"['Bus Shelter', 'Infinity Pool', 'Swimming Pool', 'Bar/Chill-Out Lounge', 'Reflexology Park', 'Aerobics Centre', 'Restaurant', 'Terrace Garden', 'High Speed Elevators']",normal
248,1.0,2.0,2.0,3,high floor,Relatively New,sector 68,flat,800.0,0,0,0,0,0,unfurnished,"['Power Back-up', 'Lift(s)', 'Swimming Pool', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']",normal
249,4.25,3.0,3.0,3,mid floor,Under Construction,sector 62,flat,1600.0,1,0,0,0,0,unfurnished,"['Swimming Pool', 'Fitness Centre / GYM', 'Club house / Community Center']",low
250,1.25,4.0,4.0,3,low floor,Relatively New,sector 78,flat,2000.0,0,1,0,1,1,unfurnished,"['Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Maintenance Staff', 'Swimming Pool', 'Security Personnel', 'Internet/wi-fi connectivity', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']",normal
251,0.95,3.0,3.0,3,low floor,Moderately Old,sector 83,flat,1340.0,0,0,0,0,0,unfurnished,[],low
252,1.05,3.0,2.0,2,low floor,New Property,sector 4,flat,1350.0,0,0,0,0,0,semifurnished,[],low
253,4.1,4.0,5.0,3+,high floor,New Property,sector 72,flat,2324.0,0,1,0,0,1,unfurnished,"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Internet/wi-fi connectivity', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']",semi_luxrious
254,0.5,2.0,2.0,2,low floor,Relatively New,sector 90,flat,716.0,0,0,0,0,0,unfurnished,"['Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park']",low
255,1.65,4.0,3.0,3,mid floor,New Property,sector 1,flat,2800.0,0,1,0,0,0,unfurnished,"['Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking']",low
256,1.6,3.0,3.0,3,low floor,New Property,sector 70,flat,1575.0,0,1,0,0,1,unfurnished,"['Security / Fire Alarm', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Visitor Parking', 'Swimming Pool', 'Park', 'Natural Light', 'Airy Rooms', 'Fitness Centre / GYM', 'Club house / Community Center']",semi_luxrious
257,2.1,3.0,2.0,3,low floor,New Property,sector 61,flat,1549.0,0,0,0,0,0,unfurnished,"['Centrally Air Conditioned', 'Security / Fire Alarm', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",luxrious
258,0.9,4.0,4.0,3,mid floor,Moderately Old,sector 1,flat,1973.6,0,0,0,0,0,unfurnished,[],low
259,1.1,2.0,2.0,3+,low floor,New Property,sector 79,flat,1080.8,0,0,0,0,0,semifurnished,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']",normal
260,0.92,2.0,2.0,3+,high floor,Under Construction,sector 99,flat,1092.0,0,0,0,0,0,unfurnished,"['Private Garden / Terrace', 'Lift(s)', 'Swimming Pool', 'Park', 'Visitor Parking', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM']",normal
261,0.7,3.0,3.0,2,high floor,Under Construction,sector 92,flat,1259.899,0,0,0,0,0,unfurnished,"['Lift(s)', 'Swimming Pool', 'Park', 'Club house / Community Center', 'Fitness Centre / GYM', 'Shopping Centre', 'Rain Water Harvesting']",normal
262,0.99,3.0,4.0,2,high floor,Under Construction,sector 70,flat,1252.0,0,0,0,0,0,unfurnished,[],low
263,0.71,2.0,2.0,3+,high floor,New Property,sector 79,flat,1295.0,0,0,0,0,1,unfurnished,"['Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Park', 'Visitor Parking', 'Security Personnel', 'Fitness Centre / GYM', 'Club house / Community Center']",normal
264,0.88,2.0,2.0,3,low floor,New Property,sector 103,flat,1088.8,0,0,0,0,0,unfurnished,"['Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Water Storage', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']",normal
265,0.91,3.0,2.0,2,high floor,Moderately Old,sector 69,flat,1326.0,0,0,0,0,0,unfurnished,"['Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",normal
266,1.25,3.0,4.0,3+,mid floor,Under Construction,sector 82,flat,1568.0,0,0,0,0,0,unfurnished,"['Swimming Pool', 'Pergola', 'Sauna', 'Spa', 'Grocery Shop', 'Squash Court', 'Gazebo', 'Fountain', 'Shopping Centre']",normal
267,1.05,2.0,2.0,2,low floor,Relatively New,sector 47,flat,997.0,0,0,0,0,0,semifurnished,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Maintenance Staff', 'Water Storage', 'Visitor Parking']",normal
268,0.66,2.0,2.0,3+,high floor,Relatively New,sector 37,flat,1310.044,0,0,0,0,0,unfurnished,"['Manicured Garden', 'Swimming Pool', 'School', 'Salon', 'Spa', 'Grocery Shop', 'Billiards', 'Lawn Tennis Court', 'Basketball Court']",semi_luxrious
269,1.83,2.0,2.0,0,mid floor,New Property,sector 113,flat,1310.044,0,0,0,0,0,unfurnished,"['Swimming Pool', 'Lounge', 'Bar/Chill-Out Lounge', 'ATM', 'Aerobics Centre', 'Restaurant', 'Sauna', 'Spa', 'Skating Rink']",semi_luxrious
270,0.53,2.0,2.0,2,mid floor,Relatively New,sector 70,flat,876.0,0,0,0,0,1,unfurnished,"['Lift(s)', 'Swimming Pool', 'Park', 'Fitness Centre / GYM']",low
271,0.8,2.0,2.0,3,low floor,Relatively New,sector 37,flat,1200.0,0,0,0,0,0,unfurnished,"['Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'No open drainage around', 'Recently Renovated', 'Visitor Parking', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Waste Disposal', 'Rain Water Harvesting']",semi_luxrious
272,1.71,3.0,2.0,0,low floor,New Property,sector 89,flat,1425.0,0,0,0,0,0,unfurnished,"['Swimming Pool', 'Lounge', 'Aerobics Centre', 'Terrace Garden', 'Piped Gas', 'Squash Court', 'Gazebo', 'Wi-Fi Connectivity', 'Sun Deck']",normal
273,0.65,1.0,1.0,0,mid floor,Relatively New,sector 83,flat,699.978,0,0,0,0,0,unfurnished,[],low
274,1.3,3.0,3.0,0,high floor,New Property,sector 99,flat,1996.928,0,0,0,0,0,unfurnished,[],low
275,0.82,3.0,3.0,3+,high floor,Relatively New,sector 92,flat,1523.031,0,0,0,0,0,unfurnished,[],low
276,5.7,3.0,3.0,3,low floor,Moderately Old,sector 54,flat,1381.986,0,0,0,0,0,unfurnished,"['Swimming Pool', 'ATM', 'Creche/Day care', 'Wi-Fi Connectivity', 'Cafeteria', 'Community Hall', 'Entrance Lobby', 'Sewage Treatment Plant', 'CCTV Camera Security']",normal
277,0.88,1.0,1.0,2,low floor,Relatively New,sector 63,flat,600.0,0,0,0,0,0,unfurnished,[],low
278,4.0,4.0,4.0,3,high floor,New Property,sector 110,flat,4060.501,0,0,0,0,0,unfurnished,"['Swimming Pool', 'Aerobics Centre', 'Barbecue', 'Restaurant', 'Pergola', 'Spa', 'Pool Table', 'Cafeteria', 'Sun Deck']",semi_luxrious
279,1.93,3.0,4.0,3,mid floor,Relatively New,sector 85,flat,2408.0,0,1,0,0,0,unfurnished,"['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",luxrious
280,3.45,4.0,4.0,3,high floor,New Property,sector 113,flat,2080.0,1,1,0,0,0,semifurnished,"['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",luxrious
281,1.7,3.0,3.0,3,low floor,Moderately Old,sector 56,flat,1610.0,1,0,0,0,0,unfurnished,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']",normal
282,6.15,3.0,5.0,3+,low floor,Relatively New,sector 65,flat,3844.0,0,1,0,0,0,furnished,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']",normal
283,1.4,3.0,3.0,3+,mid floor,Old Property,sector 2,flat,1424.0,0,0,0,0,0,furnished,"['Security / Fire Alarm', 'Lift(s)', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'No open drainage around', 'Bank Attached Property', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",semi_luxrious
284,1.48,3.0,3.0,2,low floor,New Property,sector 84,flat,1294.0,0,1,1,0,0,semifurnished,"['Security / Fire Alarm', 'Private Garden / Terrace', 'Intercom Facility', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Separate entry for servant room', 'No open drainage around', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']",luxrious
285,3.25,4.0,4.0,3+,hometop,Old Property,sector 33,flat,4328.0,0,1,0,0,0,semifurnished,"['Security / Fire Alarm', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'No open drainage around', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",luxrious
286,1.49,3.0,2.0,3+,low floor,Old Property,Kanahi,flat,1750.0,0,0,0,0,0,furnished,"['Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Park', 'Visitor Parking', 'Security Personnel', 'Internet/wi-fi connectivity', 'Waste Disposal']",semi_luxrious
287,0.3,2.0,2.0,2,high floor,Relatively New,sector 11,flat,761.0,0,0,0,0,0,unfurnished,[],low
288,3.49,3.0,3.0,3,high floor,Relatively New,sector 67,flat,2452.0,0,1,0,0,0,unfurnished,"['Centrally Air Conditioned', 'Water purifier', 'High Ceiling Height', 'Separate entry for servant room', 'No open drainage around', 'Recently Renovated', 'Piped-gas', 'Swimming Pool', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']",semi_luxrious
289,2.15,2.0,2.0,3,high floor,Under Construction,sector 62,flat,1508.0,0,0,0,0,0,unfurnished,"['Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Fitness Centre / GYM', 'Waste Disposal', 'Club house / Community Center']",semi_luxrious
290,1.4,2.0,2.0,3,high floor,Under Construction,sector 33,flat,1385.0,0,0,0,0,0,unfurnished,"['Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Water Storage', 'Park', 'Visitor Parking', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",semi_luxrious
291,2.0,3.0,3.0,2,mid floor,Moderately Old,sector 43,flat,1125.6,0,0,0,0,0,unfurnished,"['Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Park', 'Piped-gas', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']",semi_luxrious
292,2.3,3.0,3.0,2,low floor,New Property,sector 61,flat,1304.0,1,0,0,0,0,unfurnished,"['Security / Fire Alarm', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'No open drainage around', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",semi_luxrious
293,0.54,2.0,1.0,3,low floor,New Property,sohna road,flat,745.0,0,0,0,0,0,unfurnished,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Water Storage', 'Park', 'Visitor Parking', 'Fitness Centre / GYM', 'Club house / Community Center']",semi_luxrious
294,1.25,4.0,3.0,3,low floor,Old Property,sector 9,flat,1806.0,0,1,0,0,0,semifurnished,"['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Lift(s)', 'Piped-gas', 'Club house / Community Center', 'Rain Water Harvesting']",low
295,1.05,2.0,2.0,1,high floor,Relatively New,sector 85,flat,92.0,0,0,0,0,0,unfurnished,"['Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']",normal
296,1.25,3.0,4.0,3,low floor,Relatively New,sector 77,flat,1450.0,0,1,0,0,0,semifurnished,"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Low Density Society', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']",semi_luxrious
297,1.0,1.0,1.0,1,low floor,Old Property,sector 28,flat,880.0,1,0,0,1,0,semifurnished,"['Security / Fire Alarm', 'Private Garden / Terrace', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Recently Renovated', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Shopping Centre', 'Club house / Community Center']",semi_luxrious
298,1.7,5.0,5.0,2,low floor,Old Property,sector 14,flat,2300.0,1,0,1,1,0,furnished,"['Security / Fire Alarm', 'Intercom Facility', 'Maintenance Staff', 'Park', 'Visitor Parking', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors']",semi_luxrious
299,1.3,4.0,6.0,2,high floor,New Property,sector 86,flat,2228.8,0,1,0,0,1,unfurnished,"['Security / Fire Alarm', 'Lift(s)', 'Maintenance Staff', 'Separate entry for servant room', 'No open drainage around', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",semi_luxrious
300,2.12,3.0,3.0,3,mid floor,Relatively New,sector 102,flat,1250.0,0,0,0,0,0,unfurnished,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Water Storage', 'Park', 'Visitor Parking', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",semi_luxrious
301,3.9,3.0,4.0,3+,high floor,New Property,sector 61,flat,1249.68879,0,1,0,0,0,unfurnished,"['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Internet/wi-fi connectivity', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Waste Disposal', 'Rain Water Harvesting', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",luxrious
302,3.0,3.0,3.0,3+,high floor,Old Property,sector 50,flat,2084.0,0,1,0,0,0,semifurnished,"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",luxrious
303,2.2,3.0,3.0,2,low floor,New Property,sector 61,flat,1549.0,0,0,0,0,0,unfurnished,"['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'No open drainage around', 'Piped-gas', 'Internet/wi-fi connectivity', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Waste Disposal', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",luxrious
304,1.35,3.0,3.0,3,mid floor,Relatively New,sector 102,flat,1022.5705,0,1,0,0,0,unfurnished,"['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Internet/wi-fi connectivity', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']",luxrious
305,1.67,3.0,2.0,2,high floor,New Property,sector 33,flat,1671.0,0,0,0,0,0,unfurnished,"['Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Water Storage', 'Park', 'Visitor Parking', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",semi_luxrious
306,0.9,2.0,2.0,2,low floor,Relatively New,sector 103,flat,1080.0,0,0,0,0,0,unfurnished,"['Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']",normal
307,2.37,4.0,4.0,3+,high floor,Under Construction,sector 113,flat,1600.0,1,0,0,0,0,unfurnished,"['Centrally Air Conditioned', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",luxrious
